Model,speed,mAP,Type,FPS
ssd_mobilenet_v1_coco,30,21,Boxes,12.194020882390484
ssd_mobilenet_v1_0.75_depth_coco,26,18,Boxes,16.254624094324054
ssd_mobilenet_v1_quantized_coco,29,18,Boxes,0
ssd_mobilenet_v1_0.75_depth_quantized_coco,29,16,Boxes,0
ssd_mobilenet_v1_ppn_coco,26,20,Boxes,13.260323930308266
ssd_mobilenet_v1_fpn_coco,56,32,Boxes,0.4599424813454448
ssd_resnet_50_fpn_coco,76,35,Boxes,0.1
ssd_mobilenet_v2_coco,31,22,Boxes,9.074641683497118
ssdlite_mobilenet_v2_coco,27,22,Boxes,12.410751101369389
ssd_inception_v2_coco,42,24,Boxes,5.689047610363403
faster_rcnn_inception_v2_coco,58,28,Boxes,0.9933880751973581
faster_rcnn_resnet50_coco,89,30,Boxes,0.1
faster_rcnn_resnet50_lowproposals_coco,64,,Boxes,0.1
rfcn_resnet101_coco,92,30,Boxes,0.1
faster_rcnn_resnet101_coco,106,32,Boxes,0.1
faster_rcnn_resnet101_lowproposals_coco,82,,Boxes,0.1
faster_rcnn_inception_resnet_v2_atrous_coco,620,37,Boxes,0.1
faster_rcnn_inception_resnet_v2_atrous_lowproposals_coco,241,,Boxes,0.1
faster_rcnn_nas,1833,43,Boxes,0.1
faster_rcnn_nas_lowproposals_coco,540,,Boxes,0.1
ssd_mobilenet_docker,,,Boxes,10.657425002421368
yolov3,,,,0.9
yolov3_tiny,,,,7.1428
